代號,名稱,九年股息發放率(%),九年平均配息,九年平均毛利率(%),九年平均ROE(%),九年平均EPS(元),九年平均營收成長率(%),九年平均本益比(倍),九年平均現金殖利率,label1y
5531,鄉林,66.66666666666666,0.0,38.28,5.83,0.92,3.75,12.17,0.0,-1
5533,皇鼎,100.0,0.59,30.2,7.79,1.85,18.95,10.38,3.07,1
5601,台聯,100.0,0.36,58.69,1.82,0.38,1.21,87.11,1.09,1
5603,陸海,66.66666666666666,0.56,12.76,5.81,0.88,-1.5,35.06,1.82,1
5604,中連貨,100.0,3.21,39.69,10.5,3.07,-4.12,25.31,4.13,1
5607,遠雄港,44.44444444444444,0.31,50.41,7.3,1.44,6.84,39.86,0.54,1
5608,四維航,33.33333333333333,0.28,1.89,-7.5,-1.04,-3.78,-41.59,0.65,1
5609,中菲行,100.0,1.63,14.94,15.01,2.51,5.38,40.84,1.59,1
5704,老爺知,88.88888888888889,1.01,40.95,7.71,0.96,5.39,31.09,3.38,-1
5706,鳳凰,100.0,1.93,15.24,13.95,2.63,-8.8,16.03,4.58,1
5820,日盛金,100.0,0.27,8.61,5.79,0.65,1.62,19.0,2.19,1
5903,全家,100.0,5.3,36.01,27.99,6.41,7.7,39.08,2.12,-1
5904,寶雅,100.0,11.44,41.18,38.07,12.69,13.08,38.73,2.33,-1
5905,南仁湖,88.88888888888889,0.29,71.38,2.79,0.3,-0.6,47.0,2.06,1
6005,群益證,100.0,0.51,81.14,6.57,0.87,3.82,18.79,3.12,1
6015,宏遠證,66.66666666666666,0.32,80.1,4.99,0.54,51.75,30.09,1.97,1
6016,康和證,55.55555555555556,0.22,75.18,2.6,0.32,12.15,41.56,1.65,1
6020,大展證,88.88888888888889,0.26,90.01,3.56,0.54,54.74,40.74,1.18,1
6021,大慶證,44.44444444444444,0.27,89.57,2.28,0.34,7.6,62.06,1.28,1
6023,元大期,100.0,2.93,46.61,11.69,3.69,2.48,13.41,5.92,-1
6024,群益期,100.0,2.18,52.84,14.26,3.48,12.94,11.05,5.67,-1
6103,合邦,11.11111111111111,0.17,11.0,-43.07,-0.42,126.51,-16.93,2.39,1
6104,創惟,77.77777777777779,2.07,45.63,11.6,1.92,10.04,95.31,1.13,1
6108,競國,88.88888888888889,1.26,13.74,7.53,1.71,1.13,12.51,5.89,-1
6112,聚碩,100.0,2.0,9.42,12.66,2.63,9.74,14.81,5.13,-1
6113,亞矽,11.11111111111111,0.04,5.94,-3.94,-0.45,-4.11,-28.44,0.31,1
6114,翔昇,66.66666666666666,1.1,18.06,19.89,3.9,25.37,5.96,4.73,-1
6116,彩晶,55.55555555555556,0.22,19.54,5.34,0.69,-6.55,22.83,1.4,1
6117,迎廣,44.44444444444444,0.22,16.77,-4.31,-0.65,-4.32,-24.77,1.37,-1
6118,建達,22.22222222222222,0.06,3.94,0.23,0.03,-0.47,998.33,0.2,1
6120,達運,66.66666666666666,0.25,4.12,-0.64,-0.06,-12.93,-186.67,2.23,-1
6122,擎邦,33.33333333333333,0.18,4.51,2.46,0.4,5.57,30.13,1.49,-1
6123,上奇,100.0,2.19,17.74,14.93,2.84,5.78,17.68,4.36,1
6124,業強,11.11111111111111,0.0,17.59,2.34,0.39,3.83,66.67,0.0,-1
6126,信音,66.66666666666666,0.53,24.04,4.12,0.42,-0.44,68.57,1.84,1
6127,九豪,22.22222222222222,0.06,18.56,-3.72,-0.46,0.15,-59.89,0.22,1
6128,上福,100.0,2.05,40.31,13.56,2.78,31.36,10.5,7.02,-1
6129,普誠,11.11111111111111,0.02,36.04,-2.09,-0.23,-4.68,-137.39,0.06,1
6133,金橋,77.77777777777779,0.23,20.34,1.39,0.19,-4.66,45.63,2.65,-1
6134,萬旭,11.11111111111111,0.06,12.38,-8.98,-1.01,-8.24,-21.83,0.27,1
6138,茂達,100.0,2.57,29.16,14.08,2.85,5.87,89.47,1.01,1
6140,訊達,11.11111111111111,0.02,9.96,0.44,0.04,4.19,530.0,0.09,-1
6141,柏承,100.0,0.41,12.07,2.56,0.37,-0.36,72.03,1.54,-1
6142,友勁,33.33333333333333,0.17,8.99,-5.31,-0.51,-11.76,-21.86,1.52,-1
6143,振曜,100.0,3.76,16.59,15.48,4.21,5.26,13.54,6.6,1
6144,得利,0.0,0.0,32.29,-5.11,-0.29,-15.41,-52.07,0.0,1
6146,耕興,100.0,5.62,46.09,22.32,7.15,7.1,30.07,2.61,-1
6147,頎邦,100.0,2.87,26.41,11.31,4.55,6.1,14.86,4.25,-1
6148,驊宏資,44.44444444444444,0.26,12.29,2.57,0.13,-6.77,106.92,1.87,-1
6151,晉倫,100.0,1.48,16.97,10.53,1.8,-1.57,21.17,3.88,1
6152,百一,22.22222222222222,0.33,12.63,-4.66,-0.41,-12.05,-27.44,2.93,-1
6155,鈞寶,100.0,0.97,27.45,6.48,1.09,-1.13,22.16,4.02,-1
6156,松上,66.66666666666666,0.29,14.99,8.11,1.06,1.13,16.42,1.67,-1
6158,禾昌,77.77777777777779,1.63,24.13,2.97,0.51,-7.03,63.53,5.03,-1
6161,捷波,88.88888888888889,0.77,19.04,5.09,0.76,-14.37,37.96,2.67,1
6163,華電網,55.55555555555556,0.49,19.65,4.16,0.66,4.69,30.3,2.45,1
6164,華興,77.77777777777779,0.46,27.45,3.42,0.46,-7.56,31.52,3.17,1
6165,捷泰,11.11111111111111,0.01,11.19,-8.09,-0.53,4098.91,-71.04,0.03,-1
6167,久正,11.11111111111111,0.02,16.78,10.87,0.63,-3.35,20.48,0.16,1
6168,宏齊,55.55555555555556,0.47,13.1,1.45,0.18,-2.3,153.61,1.7,1
6169,昱泉,11.11111111111111,0.11,37.41,-21.47,-2.73,-0.26,-7.86,0.51,-1
6170,統振,55.55555555555556,0.35,12.94,-0.14,0.24,-7.22,185.63,0.79,1
6173,信昌電,77.77777777777779,1.18,23.1,11.28,2.49,10.33,24.98,1.9,-1
6174,安碁,77.77777777777779,0.69,28.14,6.71,0.77,-2.39,44.61,2.01,1
6176,瑞儀,100.0,6.37,14.65,18.42,9.43,-0.52,10.36,6.52,-1
6179,亞通,77.77777777777779,1.4,11.05,-0.22,0.77,52.68,42.53,4.27,-1
6180,橘子,77.77777777777779,1.8,26.67,6.33,2.15,6.85,28.0,2.99,-1
6182,合晶,44.44444444444444,0.64,18.56,-1.84,-0.16,3.39,-540.63,0.74,1
6183,關貿,100.0,1.37,38.95,11.63,1.6,4.02,31.22,2.74,-1
6184,大豐電,100.0,2.05,46.15,8.3,2.6,15.37,16.83,4.69,-1
6185,幃翔,100.0,1.18,33.48,9.29,1.76,-11.87,7.59,8.84,-1
6186,新潤,100.0,2.03,25.46,19.22,3.2,24243.31,8.34,7.6,-1
6188,廣明,100.0,1.77,16.07,6.17,1.86,1.15,23.06,4.13,-1
6189,豐藝,100.0,2.58,8.25,14.91,2.83,4.14,14.33,6.36,1
6190,萬泰科,55.55555555555556,0.43,11.52,2.72,0.32,-2.47,106.25,1.26,1
6191,精成,55.55555555555556,0.29,10.87,2.62,0.83,-4.18,46.57,0.75,1
6192,巨路,100.0,3.09,28.47,15.67,5.63,-1.19,12.33,4.45,-1
6194,育富,100.0,0.97,10.39,2.27,0.61,7.78,39.26,4.05,-1
6195,詩肯,100.0,3.7,57.71,23.3,4.65,5.83,11.31,7.03,1
6196,帆宣,100.0,2.29,11.6,10.64,3.11,8.7,50.16,1.47,1
6197,佳必琪,100.0,1.89,20.2,7.47,1.74,-2.51,21.58,5.03,-1
6198,凌泰,11.11111111111111,0.02,61.9,-13.58,-0.86,3.49,-40.35,0.06,-1
6199,精威,33.33333333333333,0.07,67.63,2.1,0.27,83.3,58.52,0.44,1
6202,盛群,100.0,3.75,47.68,21.15,3.75,5.59,28.93,3.46,1
6204,艾華,100.0,2.1,27.79,6.37,1.55,-4.94,47.48,2.85,-1
6206,飛捷,100.0,4.92,32.57,19.5,5.96,5.16,12.01,6.87,1
6207,雷科,100.0,1.55,25.53,10.81,1.96,-5.36,16.17,4.89,-1
6208,日揚,100.0,1.06,29.7,8.7,1.48,4.66,35.0,2.05,1
6209,今國,33.33333333333333,0.3,7.55,-1.74,-0.21,-7.27,-165.71,0.86,-1
6212,理銘,55.55555555555556,1.17,40.01,14.28,2.35,12743.21,25.28,1.97,-1
6214,精誠,100.0,4.44,26.33,7.78,4.19,6.72,20.55,5.16,-1
6217,中探針,100.0,1.28,36.89,10.0,2.14,10.57,24.58,2.43,1
6219,富旺,88.88888888888889,0.69,26.58,12.34,1.43,33.53,12.45,3.88,1
6220,岳豐,77.77777777777779,1.15,20.89,8.68,1.69,9.56,13.17,5.17,-1
6221,晉泰,100.0,1.04,20.74,13.71,2.44,8.86,20.49,2.08,-1
6222,上揚,11.11111111111111,0.02,-0.24,-14.22,-0.87,70.27,-17.36,0.13,-1
6223,旺矽,100.0,2.81,43.7,10.28,4.94,5.98,22.87,2.49,-1
6224,聚鼎,100.0,4.03,48.73,19.41,4.85,1.89,25.77,3.22,1
6225,天瀚,11.11111111111111,0.03,-42.96,-169.06,-1.09,8.75,-5.96,0.46,1
6226,光鼎,66.66666666666666,0.11,27.28,0.03,-0.02,-2.05,-765.0,0.72,1
6227,茂綸,100.0,0.99,9.05,8.79,1.69,19.09,22.46,2.61,1
6228,全譜,11.11111111111111,0.04,20.91,-15.37,-1.21,-4.35,-9.5,0.35,1
6229,研通,100.0,0.61,13.71,5.13,0.67,10.28,64.78,1.41,1
6230,超眾,100.0,4.23,22.21,18.69,7.35,7.66,22.59,2.55,-1
6231,系微,100.0,1.38,82.12,8.14,1.54,-2.49,56.43,1.59,-1
6234,高僑,100.0,0.52,4.56,2.53,0.6,8.31,34.25,2.53,-1
6235,華孚,44.44444444444444,0.38,14.51,-1.45,0.86,6.97,29.65,1.49,1
6236,康呈生,0.0,0.0,68.55,-26.14,-1.11,70.44,-15.05,0.0,1
6237,驊訊,100.0,0.54,58.33,3.17,0.64,13.21,155.0,0.54,1
6239,力成,100.0,3.81,18.88,10.88,5.18,7.99,18.57,3.96,-1
6241,易通展,33.33333333333333,0.54,17.85,1.19,0.29,73.03,72.41,2.57,-1
6242,立康,66.66666666666666,1.24,56.08,-5.3,1.56,14.42,24.52,3.24,-1
6243,迅杰,11.11111111111111,0.18,24.86,-11.71,-1.21,-3.29,-57.85,0.26,1
6244,茂迪,11.11111111111111,0.02,-1.19,-21.15,-4.14,-13.49,-8.22,0.06,-1
6245,立端,100.0,2.11,28.85,17.08,3.8,12.67,13.11,4.24,-1
6247,淇譽電,55.55555555555556,0.13,19.31,-3.39,-0.35,-3.41,-29.0,1.28,-1
6248,沛波,55.55555555555556,0.62,3.78,-11.83,0.04,45.4,513.75,3.02,-1
6251,定穎,11.11111111111111,0.04,11.32,-0.02,-0.04,1.14,-563.75,0.18,1
6257,矽格,100.0,2.05,29.1,11.98,2.85,12.13,21.05,3.42,1
6259,百徽,11.11111111111111,0.11,14.33,-19.25,-1.1,-11.68,-31.82,0.31,1
6261,久元,100.0,3.76,27.99,8.55,4.2,1.96,20.31,4.41,1
6265,方土昶,33.33333333333333,0.2,3.03,-0.28,-0.01,-14.48,-1910.0,1.05,1
6269,台郡,100.0,3.94,23.07,19.19,9.12,17.82,11.4,3.79,-1
6271,同欣電,100.0,5.43,26.82,11.59,7.13,6.25,41.44,1.84,1
6274,台燿,100.0,2.7,19.83,15.2,4.41,5.89,23.13,2.65,-1
6275,元山,55.55555555555556,0.4,20.0,5.95,0.61,6.8,54.67,1.2,1
6277,宏正,100.0,4.89,58.85,23.5,7.44,1.09,10.95,6.0,-1
6278,台表科,100.0,1.78,9.67,10.4,4.11,-0.24,28.83,1.5,-1
6279,胡連,100.0,5.06,39.36,17.84,7.06,4.84,18.77,3.82,1
6282,康舒,100.0,1.31,15.24,11.24,1.87,-0.45,17.73,3.95,1
6283,淳安,11.11111111111111,0.06,14.08,-8.58,-0.6,7.08,-77.0,0.13,1
6284,佳邦,88.88888888888889,0.63,21.54,3.11,0.97,6.85,65.98,0.98,-1
6285,啟碁,100.0,3.05,12.99,13.16,4.81,7.37,15.22,4.17,-1
6289,華上,11.11111111111111,0.08,-105.75,-130.61,-1.1,-16.48,-2.22,3.28,-1
6290,良維,100.0,2.22,15.0,10.5,2.92,-1.68,17.64,4.31,-1
6291,沛亨,11.11111111111111,0.0,25.71,-60.63,-1.57,-5.76,-27.23,0.0,1
6292,迅德,100.0,2.75,30.6,14.33,2.9,-3.94,14.59,6.5,1
6294,智基,77.77777777777779,4.92,37.93,37.5,6.93,31.76,18.25,3.89,-1
6505,台塑化,100.0,3.13,7.68,13.04,4.04,-4.96,24.01,3.23,-1
6508,惠光,100.0,1.48,23.47,9.06,2.24,-1.59,14.62,4.52,-1
6509,聚和,100.0,0.56,22.77,5.23,0.83,0.45,79.04,0.85,1
6603,富強鑫,100.0,0.26,24.38,3.63,0.53,-0.04,37.08,1.32,1
6605,帝寶,100.0,2.74,26.92,10.36,6.68,2.04,8.85,4.64,-1
8016,矽創,100.0,5.06,28.06,19.99,7.18,13.7,41.5,1.7,1
8021,尖點,100.0,1.09,29.57,6.3,1.8,3.71,23.25,2.6,1
8024,佑華微,77.77777777777779,0.34,30.12,0.86,0.15,-5.79,174.0,1.3,1
8032,光菱,100.0,1.64,12.92,9.51,2.54,-5.6,10.94,5.9,1
8034,榮群,11.11111111111111,0.02,40.8,3.16,0.29,6.6,56.21,0.12,-1
8039,台虹,100.0,2.39,21.05,11.01,3.58,4.54,13.18,5.06,-1
8040,九暘,11.11111111111111,0.02,33.46,-5.94,-0.55,-2.23,-140.18,0.03,1
8042,金山電,100.0,2.45,24.18,10.07,3.35,1.8,14.36,5.09,-1
8044,網家,77.77777777777779,2.59,15.26,8.77,3.26,14.11,40.8,1.95,1
8046,南電,77.77777777777779,0.93,2.78,0.1,0.06,0.88,10016.67,0.15,1
8047,星雲,77.77777777777779,0.22,33.05,3.32,0.39,-4.94,32.44,1.74,-1
